9;% of failure; CHROME8 81.0.4044.113; 1/11
100;% of failure; CHROME 69.0.3497.120; 1/1
20;% of failure; CHROME8 80.0.3987.149; 1/5
100;% of failure; MOBILE_SAFARI 13.0.4; 4/4
100;% of failure; CHROME8 83.0.4103.15; 1/1
21;% of failure; CHROME8 80.0.3987.163; 4/19
16;% of failure; CHROME8 81.0.4044.122; 9/56
100;% of failure; CHROME8 80.0.3987.122; 1/1
100;% of failure; CHROME8 80.0.3987.116; 1/1
100;% of failure; CHROME47 47.0.2526.80; 1/1
100;% of failure; CHROME43 43.0.2357.93; 1/1
86;% of failure; MOBILE_SAFARI 13.0.5; 20/23
5;% of failure; CHROME_MOBILE 80.0.3987.99; 1/20
9;% of failure; CHROME_MOBILE 80.0.3987.95; 1/11
12;% of failure; CHROME_MOBILE 77.0.3865.92; 1/8
25;% of failure; CHROME_MOBILE 75.0.3770.101; 1/4
3;% of failure; CHROME_MOBILE 80.0.3987.162; 2/54
3;% of failure; CHROME_MOBILE 80.0.3987.149; 1/26
50;% of failure; CHROME_MOBILE 74.0.3729.186; 1/2
33;% of failure; CHROME_MOBILE 79.0.3945.116; 2/6
100;% of failure; CHROME_MOBILE 50.0.2661.86; 3/3
1;% of failure; CHROME_MOBILE 81.0.4044.117; 7/450
0;% of failure; CHROME_MOBILE 81.0.4044.111; 3/342
11;% of failure; CHROME_MOBILE 75.0.3770.143; 2/18
100;% of failure; BOT;null;UNKNOWN;COMPUTER;LINUX;OTHER;Linux; 1/1
50;% of failure; FIREFOX7;75.0;UBUNTU;COMPUTER;LINUX;CONONICAL;Ubuntu; 2/4
76;% of failure; SAFARI;13.1;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 10/13
100;% of failure; CHROME8;80.0.3987.116;LINUX;COMPUTER;LINUX;OTHER;Linux; 1/1
100;% of failure; SAFARI;13.0.4;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 3/3
100;% of failure; SAFARI;13.0.3;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 1/1
85;% of failure; SAFARI;13.0.5;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 12/14
28;% of failure; FIREFOX7;75.0;WINDOWS_7;COMPUTER;WINDOWS;MICROSOFT;Windows 7; 2/7
11;% of failure; CHROME8;81.0.4044.117;ANDROID;MOBILE;ANDROID;GOOGLE;Android; 2/17
100;% of failure; FIREFOX7;76.0;WINDOWS_8;COMPUTER;WINDOWS;MICROSOFT;Windows 8; 1/1
25;% of failure; FIREFOX;68.0;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 2/8
100;% of failure; CHROME;78.0.3904.70;MAC_OS_X;COMPUTER;MAC_OS_X;APPLE;Mac OS X; 1/1
40;% of failure; EDGE;18.17763;WINDOWS_10;COMPUTER;WINDOWS;MICROSOFT;Windows 10; 2/5
